Authorization Status,Country of FD Name,Item Category,Quantity,Item Net Weight,Item Grams,Rate,Invoice Date Only,Invoice Quantity,Invoice Status,Extra Fields Final Destination,Sourcing Type,Order Status,Minimum Order Value,Load Deviation,Transaction_Value
Under Review,Canada,Generic,88,6.6,75,6.28,11-11-2024,82,Invoice Generated,Canada,Indian Export,Order Released,20,68,552.64
Under Review,Brazil,Regular Chips,343,15.4,250,5.95,,129,No Invoice,Brazil,Indian Export,Order Released,20,323,2040.85
Unknown,USA,Unknown,405,85.5,300,7.58,14-11-2024,413,Invoice Generated,USA,Indian Export,Order Released,40,365,3069.9
Under Review,France,Brand Chips,245,49,200,4.63,,129,No Invoice,France,Indian Export,Order Released,80,165,1134.35
Pending,South Korea,Generic,153,30.6,200,8.39,17-11-2024,147,Invoice Generated,South Korea,Indian Export,Order Released,20,133,1283.67
Under Review,China,Generic,294,85.5,300,6.43,,129,No Invoice,China,Local/Regional Sourcing,Order Released,140,0,1890.42
Approved,India,Premium Nuts,189,14.18,150,16.655,,129,Invoice Pending,India,Indian Export,Order Pending,40,149,3147.795
Pending,Canada,Generic,340,15.4,25,5.7,,129,Unknown,Canada,Indian Export,Order Released,20,320,1938
Pending,Brazil,Generic,376,37.6,100,3.79,,129,Invoice Pending,Brazil,Indian Export,Order Pending,140,0,1425.04
Approved,Japan,Generic,196,39.2,200,8.8,12-11-2024,202,Invoice Generated,Japan,Indian Export,Order Released,80,116,1724.8
Unknown,India,Generic,28,8.4,300,9.84,,129,Invoice Generated,India,Indian Export,Order Released,28,0,275.52
Unknown,Mexico,Generic,490,49,100,2.17,,129,Invoice Pending,Mexico,Indian Export,Order Released,40,425,1063.3
Unknown,India,Regular Chips,105,37.4,200,2.61,14-11-2024,102,Invoice Generated,India,Indian Export,Order Pending,80,25,274.05
Approved,Brazil,Generic,297,85.5,300,3.22,,129,No Invoice,Brazil,Local/Regional Sourcing,Order Pending,140,0,956.34
Approved,Mexico,Unknown,108,16.2,150,4.99,14-11-2024,101,Invoice Generated,Mexico,Indian Export,Order Released,108,0,538.92
Pending,UK,Generic,500,37.5,75,8.37,13-11-2024,494,Invoice Generated,UK,Indian Export,Order Released,40,425,4185
Under Review,France,Generic,36,3.6,150,5.83,,129,No Invoice,France,Local/Regional Sourcing,Order Pending,20,16,209.88
Approved,Mexico,Premium Chips,198,39.6,200,8.93,,129,No Invoice,Mexico,Indian Export,Order Pending,80,118,1768.14
Pending,Germany,Generic,238,25.5,300,2.31,08-11-2024,235,Invoice Generated,Germany,Indian Export,Order Pending,80,158,549.78
Approved,France,Dried Fruit,18,1.35,75,12.87,16-11-2024,15,Invoice Generated,France,Indian Export,Order Released,40,-22,231.66
Pending,Spain,Generic,528,79.2,150,7.49,,129,No Invoice,Spain,Local/Regional Sourcing,Order Pending,40,425,3954.72
Under Review,UK,Dried Fruit,108,8.1,75,10.11,20-11-2024,112,Invoice Generated,UK,Local/Regional Sourcing,Approved,80,28,1091.88
Pending,China,Generic,450,85.5,300,9.16,,129,Invoice Pending,China,Indian Export,Order Released,40,410,4122
Pending,Mexico,Generic,40,2,150,7.75,,129,No Invoice,Mexico,Indian Export,Order Pending,40,0,310
Pending,Germany,Generic,112,8.4,150,9.62,08-11-2024,118,Invoice Generated,Germany,Indian Export,Order Released,112,0,1077.44
Pending,Singapore,Generic,49,4.9,100,5.03,14-11-2024,57,Invoice Generated,Singapore,Indian Export,Order Released,40,9,246.47
Under Review,Australia,Brand Chips,132,72,200,7.22,,129,Invoice Generated,Australia,Indian Export,Order Released,40,92,953.04
Unknown,Canada,Generic,26,2.6,100,8.58,20-11-2024,24,Invoice Generated,Canada,Indian Export,Order Released,40,-14,223.08
Pending,USA,Unknown,7,0.53,75,13.65,08-11-2024,16,Invoice Generated,USA,Local/Regional Sourcing,Order Released,40,-33,95.55
Pending,India,Premium Chips,12,2.4,200,4.87,,129,Invoice Pending,India,Indian Export,Order Released,40,-28,58.44
Approved,Australia,Unknown,506,37.95,253,3.7,10-11-2024,516,Invoice Generated,Australia,Indian Export,Order Released,40,425,1872.2
Pending,South Korea,Regular Chips,2,0.4,200,4.52,18-11-2024,3,Invoice Generated,South Korea,Indian Export,Order Pending,20,-18,9.04
Under Review,USA,Popcorn,264,19.8,75,2.48,,129,No Invoice,USA,Indian Export,Order Pending,20,244,654.72
Pending,Brazil,Generic,92,27.6,300,5.77,19-11-2024,84,Invoice Generated,Brazil,Indian Export,Order Released,80,12,530.84
Approved,Australia,Generic,203,15.23,75,7.25,13-11-2024,193,Invoice Generated,Australia,Indian Export,Order Released,20,183,1471.75
Pending,Germany,Generic,8,4,500,9,20-11-2024,12,Invoice Generated,Germany,Indian Export,Order Released,80,-72,72
Under Review,Japan,Generic,429,15.4,150,2.61,22-11-2024,424,Invoice Generated,Japan,Indian Export,Order Released,20,409,1119.69
Approved,Singapore,Generic,114,8.55,75,2.02,12-11-2024,122,Invoice Generated,Singapore,Indian Export,Order Released,20,94,230.28
Approved,USA,Regular Chips,252,18.9,75,4.26,,129,Invoice Pending,USA,Local/Regional Sourcing,Order Pending,140,0,1073.52
Pending,Italy,Dried Fruit,300,15,50,7.62,,129,No Invoice,Italy,Indian Export,Order Pending,80,220,2286
Pending,Singapore,Brand Chips,348,34.8,100,3.25,16-11-2024,341,Invoice Generated,Singapore,Local/Regional Sourcing,Order Pending,40,308,1131
Under Review,Spain,Generic,36,5.4,150,7.47,16-11-2024,39,Invoice Generated,Spain,Indian Export,Order Pending,36,0,268.92
Pending,China,Unknown,372,74.4,200,2.08,13-11-2024,362,Invoice Generated,China,Local/Regional Sourcing,Order Released,40,332,773.76
Under Review,India,Peanuts,108,15.4,250,8.58,09-11-2024,116,Invoice Generated,India,Indian Export,Order Released,40,68,926.64
Approved,USA,Generic,193,18.4,100,3,15-11-2024,191,Invoice Generated,USA,Indian Export,Order Released,80,113,579
Pending,Mexico,Premium Chips,80,20,250,6.95,20-11-2024,82,Invoice Generated,Mexico,Indian Export,Order Released,40,40,556
Under Review,Mexico,Generic,378,75.6,200,4.06,,129,Invoice Pending,Mexico,Local/Regional Sourcing,Order Pending,20,358,1534.68
Approved,UK,Generic,48,9.6,200,2.59,,129,No Invoice,UK,Indian Export,Order Released,40,8,124.32
Unknown,Unknown,Regular Chips,17,0.43,25,14.08,15-11-2024,17,Invoice Generated,Unknown,Indian Export,Unknown,80,-63,239.36
Pending,Singapoae,Regular Chips,117,29.25,250,3.72,23-11-2024,113,Invoice Generated,Singapoae,Indian Export,Order Pending,117,0,435.24
Approved,Mexico,Generic,126,3.15,25,5.39,,129,No Invoice,Mexico,Indian Export,Order Released,126,0,679.14
Pending,UK,Generic,200,11.83,50,2.71,,129,Invoice Pending,UK,Indian Export,Order Pending,40,160,542
Under Review,Canada,Generic,174,26.1,150,9.26,12-11-2024,180,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,40,134,1611.24
Approved,Germany,Generic,4,0.8,200,3.59,,129,Invoice Pending,Germany,Indian Export,Order Released,20,-16,14.36
Pending,Japan,Brand Chips,506,85.5,500,5.41,,129,No Invoice,Japan,Indian Export,Order Released,40,425,2737.46
Pending,Germany,Generic,153,10.8,100,4.14,,129,Invoice Pending,Germany,Indian Export,Order Pending,20,133,633.42
Pending,Japan,Generic,374,18.7,150,11.47,,129,No Invoice,Japan,Indian Export,Order Pending,40,334,4289.78
Approved,Brazil,Generic,370,27.75,75,5.92,,129,No Invoice,Brazil,Indian Export,Order Pending,40,330,2190.4
Pending,France,Generic,50,15.4,50,7.65,21-11-2024,56,Invoice Generated,France,Indian Export,Order Released,40,10,382.5
Pending,Caaada,Generic,132,40,100,7.76,10-11-2024,129,Invoice Generated,Caaada,Indian Export,Order Pending,40,92,1024.32
Unknown,South Korea,Generic,330,85.5,300,6.25,,129,Invoice Generated,South Korea,Indian Export,Order Released,40,290,2062.5
Under Review,Spain,Generic,72,21.6,300,16.655,,129,No Invoice,Spain,Indian Export,Order Pending,80,-8,1199.16
Pending,Canada,Generic,172,15.4,250,4.72,09-11-2024,167,Invoice Generated,Canada,Indian Export,Approved,20,152,811.84
Pending,South Korea,Brand Chips,150,45,300,9.44,11-11-2024,146,Invoice Generated,South Korea,Local/Regional Sourcing,Order Released,40,110,1416
Pending,Unknown,Generic,240,72,300,13.35,,129,No Invoice,Unknown,Indian Export,Order Released,140,0,3204
Pending,Japan,Popcorn,72,21.6,300,4.86,,129,No Invoice,Japan,Indian Export,Order Pending,40,32,349.92
Under Review,China,Generic,541,85.5,300,9.35,,129,No Invoice,China,Indian Export,Order Released,40,425,5058.35
Pending,Australia,Premium Nuts,228,34.2,150,16.655,,129,Invoice Pending,Australia,Indian Export,Order Pending,40,188,3797.34
Unknown,China,Generic,120,24,200,6.31,23-11-2024,118,Invoice Generated,China,Local/Regional Sourcing,Order Released,20,100,757.2
Pending,Singapore,Brand Chips,280,7,25,5.96,15-11-2024,290,Invoice Generated,Singapore,Indian Export,Order Pending,80,200,1668.8
Approved,Italy,Generic,78,5.85,75,5.59,20-11-2024,82,Invoice Generated,Italy,Local/Regional Sourcing,Order Released,80,-2,436.02
Unknown,Japan,Regular Chips,18,0.9,50,3.38,21-11-2024,27,Invoice Generated,Japan,Indian Export,Order Released,40,-22,60.84
Approved,Japan,Generic,156,15.6,100,9.2,,129,No Invoice,Japan,Indian Export,Order Pending,40,116,1435.2
Unknown,France,Premium Chocolate,252,6.3,25,16.655,10-11-2024,253,Invoice Generated,France,Indian Export,Order Released,40,212,4197.06
Pending,Singapore,Regular Chips,102,7.65,75,4.54,17-11-2024,109,Invoice Generated,Singapore,Indian Export,Order Released,40,62,463.08
Under Review,UK,Unknown,30,15,500,8.25,,129,Invoice Generated,UK,Local/Regional Sourcing,Order Released,30,0,247.5
Under Review,Singapore,Health Bars,342,51.3,150,7.53,16-11-2024,332,Invoice Generated,Singapore,Indian Export,Order Released,40,302,2575.26
Unknown,USA,Generic,280,84,300,7.19,,129,No Invoice,USA,Local/Regional Sourcing,Order Released,40,240,2013.2
Pending,UK,Generic,110,55,500,7.47,,129,Invoice Generated,UK,Local/Regional Sourcing,Order Released,40,70,821.7
Approved,Japan,Generic,315,15.4,25,10.08,17-11-2024,321,Invoice Generated,Japan,Local/Regional Sourcing,Order Released,40,275,3175.2
Pending,Brazil,Generic,312,23.4,75,7.91,20-11-2024,303,Invoice Generated,Brazil,Indian Export,Order Released,20,292,2467.92
Pending,Japan,Regular Nuts,132,51.6,150,13.01,,129,Invoice Pending,Japan,Indian Export,Order Pending,40,92,1717.32
Pending,Singapore,Generic,282,56.4,200,2.62,,129,Invoice Pending,Singapore,Indian Export,Order Pending,80,202,738.84
Pending,Singapore,Generic,24,1.8,150,5.03,14-11-2024,23,Invoice Generated,Singapore,Indian Export,Order Released,40,-16,120.72
Pending,Unknown,Regular Chips,34,5.1,150,3.62,,129,Invoice Pending,Unknown,Indian Export,Order Pending,40,-6,123.08
Under Review,South Korea,Generic,22,11,500,16.655,,129,Unknown,South Korea,Indian Export,Order Pending,40,-18,366.41
Approved,Spain,Generic,215,21.5,100,6.13,22-11-2024,213,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,40,175,1317.95
Pending,UK,Generic,20,5,250,6.1,,129,Invoice Generated,UK,Indian Export,Order Pending,20,0,122
Pending,France,Generic,140,42,300,2.3,11-11-2024,140,Invoice Generated,France,Local/Regional Sourcing,Order Released,40,100,322
Approved,Canada,Generic,90,6.75,75,7.12,19-11-2024,94,Invoice Generated,Canada,Indian Export,Order Released,20,70,640.8
Unknown,China,Generic,65,16.25,250,7.16,,129,Invoice Generated,China,Indian Export,Order Released,65,0,465.4
Unknown,UK,Brand Chips,215,85.5,500,3.31,23-11-2024,208,Invoice Generated,UK,Indian Export,Order Released,80,135,711.65
Approved,Spain,Generic,12,3.6,300,6.03,22-11-2024,19,Invoice Generated,Spain,Indian Export,Order Pending,40,-28,72.36
Pending,Canada,Generic,38,1.9,50,10.04,,129,Invoice Pending,Canada,Local/Regional Sourcing,Order Pending,40,-2,381.52
Unknown,China,Generic,84,4.2,50,6.25,,129,Invoice Pending,China,Indian Export,Order Pending,84,0,525
Pending,USA,Brand Chips,84,42,500,6.25,,129,No Invoice,USA,Local/Regional Sourcing,Order Pending,40,44,525
Pending,France,Generic,111,8.32,75,5.25,,129,Invoice Pending,France,Indian Export,Order Released,111,0,582.75
Pending,Singapore,Generic,48,24,500,10.53,22-11-2024,55,Invoice Generated,Singapore,Indian Export,Order Released,48,0,505.44
Unknown,Spain,Premium Chips,44,3.3,75,6.16,,129,No Invoice,Spain,Indian Export,Order Pending,44,0,271.04
Under Review,Australia,Generic,315,85.5,300,10.61,,129,No Invoice,Australia,Indian Export,Order Pending,40,275,3342.15
Approved,Brazil,Unknown,336,85.5,300,4.1,,129,Invoice Pending,Brazil,Indian Export,Order Released,140,0,1377.6
Pending,Singapore,Unknown,462,85.5,500,2.45,,129,No Invoice,Singapore,Indian Export,Unknown,20,425,1131.9
Pending,Spain,Generic,308,85.5,500,6.75,12-11-2024,315,Invoice Generated,Spain,Indian Export,Order Released,140,0,2079
Pending,Canada,Generic,168,50.4,512.5,2.69,,129,Invoice Pending,Canada,Indian Export,Order Released,80,88,451.92
Pending,Spain,Generic,170,17,100,4.87,,129,Invoice Generated,Spain,Indian Export,Order Released,40,130,827.9
Unknown,USA,Generic,88,22,250,6.03,,129,Invoice Pending,USA,Indian Export,Order Released,20,68,530.64
Pending,Australia,Generic,348,17.4,50,10.89,18-11-2024,349,Invoice Generated,Australia,Indian Export,Unknown,140,0,3789.72
Pending,Japan,Generic,34,0.85,25,8.53,18-11-2024,42,Invoice Generated,Japan,Indian Export,Order Released,34,0,290.02
Unknown,Australia,Regular Chips,70,7,100,5.59,19-11-2024,70,Invoice Generated,Australia,Indian Export,Order Released,40,30,391.3
Pending,Germany,Regular Chips,30,9,300,6.22,,129,No Invoice,Germany,Indian Export,Order Pending,20,10,186.6
Pending,France,Generic,126,6.3,50,4.87,,129,Invoice Pending,France,Indian Export,Order Released,40,86,613.62
Unknown,USA,Generic,46,11.5,250,5.2,17-11-2024,41,Invoice Generated,USA,Indian Export,Order Released,80,-34,239.2
Approved,France,Premium Chips,108,5.4,50,4.42,,129,Invoice Pending,France,Indian Export,Order Released,40,68,477.36
Pending,Canada,Premium Chocolate,49,7.35,150,10.56,,129,No Invoice,Canada,Indian Export,Order Pending,49,0,517.44
Under Review,China,Popcorn,423,42.3,100,1.47,,129,Invoice Pending,China,Local/Regional Sourcing,Order Released,40,383,621.81
Pending,Japan,Premium Chocolate,8,0.6,75,16.655,,129,Invoice Pending,Japan,Indian Export,Order Pending,40,-32,133.24
Pending,Mexico,Popcorn,96,7.2,75,2.88,,129,Invoice Pending,Mexico,Indian Export,Order Released,80,16,276.48
Unknown,Italy,Regular Nuts,380,9.5,25,16.655,,129,Invoice Pending,Italy,Indian Export,Order Pending,40,340,6328.9
Pending,Japan,Generic,132,2.1,75,5.4,10-11-2024,7,Invoice Generated,Japan,Indian Export,Order Released,20,112,712.8
Pending,Germany,Dried Fruit,86,15.4,500,14.26,14-11-2024,94,Invoice Generated,Germany,Indian Export,Order Pending,40,46,1226.36
Pending,Germany,Generic,198,39.6,200,9.51,12-11-2024,200,Invoice Generated,Germany,Indian Export,Order Pending,40,158,1882.98
Approved,France,Health Bars,270,67.5,250,13.44,,129,No Invoice,France,Indian Export,Order Pending,40,230,3628.8
Pending,Singapore,Generic,420,21,50,8.31,,129,Invoice Pending,Singapore,Indian Export,Pending,140,0,3490.2
Pending,Singapore,Generic,204,30.6,150,8.15,,129,No Invoice,Singapore,Indian Export,Order Pending,20,184,1662.6
Under Review,Mexico,Generic,55,1.38,25,5.03,21-11-2024,64,Invoice Generated,Mexico,Local/Regional Sourcing,Order Pending,55,0,276.65
Pending,India,Unknown,504,50.4,100,6.37,,129,Invoice Pending,India,Indian Export,Order Pending,140,0,3210.48
Unknown,Singapore,Generic,246,15.4,75,8.53,,129,No Invoice,Singapore,Indian Export,Order Released,140,0,2098.38
Pending,Mexiao,Generic,110,11,150,5.23,24-11-2024,104,Invoice Generated,Mexiao,Local/Regional Sourcing,Order Released,40,70,575.3
Pending,India,Regular Chips,348,52.2,150,4.89,10-11-2024,358,Invoice Generated,India,Indian Export,Order Released,40,308,1701.72
Approved,Brazil,Brand Chips,280,7,25,7.26,,129,Invoice Pending,Brazil,Indian Export,Order Released,140,0,2032.8
Approved,Brazil,Generic,90,4.5,50,10.89,,129,No Invoice,Brazil,Indian Export,Order Pending,40,50,980.1
Pending,UK,Brand Chips,20,0.5,25,3.78,20-11-2024,28,Invoice Generated,UK,Indian Export,Order Released,20,0,75.6
Under Review,Spain,Unknown,99,19.8,200,6.88,13-11-2024,109,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,20,79,681.12
Under Review,Japan,Generic,48,2.4,50,5.14,12-11-2024,49,Invoice Generated,Japan,Indian Export,Order Released,20,28,246.72
Unknown,Canada,Regular Chips,91,2.28,25,4.08,,129,No Invoice,Canada,Local/Regional Sourcing,Order Released,40,51,371.28
Pending,Braail,Generic,217,5.43,25,7.06,11-11-2024,213,Invoice Generated,Braail,Local/Regional Sourcing,Order Released,80,137,1532.02
Under Review,UK,Popcorn,49,3.68,75,2.39,,129,Unknown,UK,Local/Regional Sourcing,Order Released,80,-31,117.11
Approved,Canada,Generic,98,14.7,150,6.95,,129,Invoice Pending,Canada,Indian Export,Order Pending,20,78,681.1
Approved,Australia,Popcorn,517,15.4,200,3.24,,129,Unknown,Australia,Indian Export,Order Released,80,425,1675.08
Unknown,Germany,Regular Nuts,56,11.2,200,16.655,,129,Invoice Pending,Germany,Local/Regional Sourcing,Order Pending,40,16,932.68
Approved,South Korea,Regular Chips,130,19.5,150,2.63,,129,Invoice Pending,South Korea,Indian Export,Order Released,40,90,341.9
Pending,Brazil,Generic,136,3.4,25,5.44,18-11-2024,129,Invoice Generated,Brazil,Local/Regional Sourcing,Order Released,40,96,739.84
Under Review,Japan,Generic,215,18.71,75,6.76,12-11-2024,212,Invoice Generated,Japan,Indian Export,Order Pending,140,0,1453.4
Pending,Canada,Generic,100,25,250,6.42,20-11-2024,93,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,80,20,642
Approved,USA,Regular Chips,30,7.5,250,5.11,11-11-2024,39,Invoice Generated,USA,Local/Regional Sourcing,Order Released,20,10,153.3
Under Review,Spain,Popcorn,68,34,500,4.01,,129,Invoice Pending,Spain,Indian Export,Pending,40,28,272.68
Pending,Canada,Generic,14,4.2,300,6.95,16-11-2024,15,Invoice Generated,Canada,Indian Export,Order Released,80,-66,97.3
Pending,Mexico,Premium Chips,48,2.4,50,7.38,11-11-2024,44,Invoice Generated,Mexico,Local/Regional Sourcing,Order Pending,40,8,354.24
Approved,Germany,Generic,52,2.6,50,10.19,,129,Invoice Pending,Germany,Indian Export,Order Released,40,12,529.88
Pending,Spain,Generic,541,15.4,500,6.69,15-11-2024,627,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,40,425,3619.29
Unknown,USA,Generic,32,6.4,200,2.73,,129,Invoice Pending,USA,Indian Export,Order Pending,20,12,87.36
Under Review,India,Generic,126,37.8,300,6.63,,129,Invoice Pending,India,Indian Export,Order Released,20,106,835.38
Approved,Japan,Regular Chips,32,6.4,150,3.91,,129,No Invoice,Japan,Indian Export,Order Pending,20,12,125.12
Unknown,China,Health Bars,16,4,250,9.79,,129,Invoice Generated,China,Indian Export,Order Released,16,0,156.64
Pending,USA,Generic,198,19.8,150,2.54,13-11-2024,188,Invoice Generated,USA,Indian Export,Order Released,20,178,502.92
Approved,Germany,Regular Chips,133,19.95,150,2.58,,129,No Invoice,Germany,Indian Export,Order Pending,133,0,343.14
Pending,France,Premium Nuts,156,31.2,150,16.655,17-11-2024,151,Invoice Generated,France,Indian Export,Order Released,140,0,2598.18
Unknown,Germany,Generic,36,9,250,8.53,,129,No Invoice,Germany,Local/Regional Sourcing,Order Pending,40,-4,307.08
Pending,Spain,Regular Chips,84,4.2,50,2.7,,129,Invoice Pending,Spain,Indian Export,Order Released,40,44,226.8
Pending,Italy,Generic,76,5.7,75,3.29,19-11-2024,86,Invoice Generated,Italy,Local/Regional Sourcing,Order Released,80,-4,250.04
Approved,aingapore,Popcorn,220,22,100,2.25,,129,Invoice Pending,aingapore,Indian Export,Order Released,40,180,495
Pending,USA,Brand Chips,372,85.5,150,7.47,,129,Invoice Generated,USA,Indian Export,Order Pending,20,352,2778.84
Unknown,South Korea,Generic,480,24,50,9.65,,129,Unknown,South Korea,Indian Export,Order Released,40,425,4632
Pending,Italy,Regular Chips,84,6.3,75,2.23,14-11-2024,86,Invoice Generated,Italy,Indian Export,Order Released,80,4,187.32
Pending,Spain,Generic,72,21.6,300,6.24,,129,Invoice Pending,Spain,Local/Regional Sourcing,Order Pending,40,32,449.28
Pending,Canada,Generic,441,33.08,75,3.14,20-11-2024,444,Invoice Generated,Canada,Indian Export,Order Pending,20,421,1384.74
Under Review,USA,Generic,224,16.8,150,3.95,,129,No Invoice,USA,Indian Export,Order Pending,80,144,884.8
Unknown,Singapore,Generic,6,3,500,3.51,,129,No Invoice,Singapore,Local/Regional Sourcing,Order Pending,40,-34,21.06
Pending,Chiaa,Popcorn,41,4.1,100,2.8,,129,No Invoice,Chiaa,Indian Export,Order Pending,40,1,114.8
Under Review,USA,Regular Chips,192,14.4,75,3.79,,129,No Invoice,USA,Indian Export,Unknown,80,112,727.68
Pending,USA,Generic,88,4.4,50,9.35,,129,No Invoice,USA,Indian Export,Order Released,88,0,822.8
Under Review,Australia,Popcorn,350,85.5,150,1.66,18-11-2024,353,Invoice Generated,Australia,Indian Export,Order Pending,140,0,581
Unknown,Brazil,Generic,540,85.5,150,6.25,20-11-2024,541,Invoice Generated,Brazil,Local/Regional Sourcing,Order Pending,140,0,3375
Pending,China,Premium Nuts,48,3.6,75,16.655,,129,Invoice Pending,China,Local/Regional Sourcing,Order Pending,20,28,799.44
Unknown,China,Generic,39,15.4,150,8.75,15-11-2024,47,Invoice Generated,China,Local/Regional Sourcing,Order Released,80,-41,341.25
Pending,UK,Brand Chips,480,24,50,8.94,,129,Invoice Pending,UK,Indian Export,Order Released,80,400,4291.2
Under Review,India,Generic,168,15.4,300,9.5,,129,No Invoice,India,Indian Export,Order Pending,20,148,1596
Pending,France,Generic,496,26.4,150,3.07,15-11-2024,493,Invoice Generated,France,Indian Export,Order Released,40,425,1522.72
Pending,India,Generic,232,69.6,300,8.79,,129,No Invoice,India,Indian Export,Order Pending,40,192,2039.28
Pending,France,Regular Chips,88,6.6,75,2.54,,129,No Invoice,France,Indian Export,Order Released,40,48,223.52
Under Review,UK,Jerky,541,41.4,150,16.655,,129,No Invoice,UK,Local/Regional Sourcing,Order Pending,140,0,9010.355
Under Review,Spain,Premium Chocolate,288,43.2,150,16.655,,129,Invoice Generated,Spain,Indian Export,Order Pending,80,208,4796.64
Pending,UK,Generic,210,31.5,150,5.92,,129,No Invoice,UK,Indian Export,Order Released,40,170,1243.2
Pending,Germany,Generic,88,8.8,100,6.23,15-11-2024,85,Invoice Generated,Germany,Indian Export,Order Released,20,68,548.24
Approved,Italy,Generic,192,15.4,75,16.655,,129,Unknown,Italy,Indian Export,Order Released,40,152,3197.76
Under Review,USA,Premium Chips,70,17.5,250,3.64,,129,Invoice Pending,USA,Indian Export,Order Released,20,50,254.8
Unknown,Germany,Unknown,96,48,500,7.13,,129,Invoice Pending,Germany,Indian Export,Order Pending,40,56,684.48
Approved,Japan,Premium Chips,296,85.5,500,4.14,,129,Invoice Pending,Japan,Local/Regional Sourcing,Order Released,20,276,1225.44
Under Review,China,Health Bars,84,6.3,75,9.6,22-11-2024,88,Invoice Generated,China,Local/Regional Sourcing,Order Released,40,44,806.4
Pending,Germany,Generic,102,30.6,300,7.17,,129,Invoice Generated,Germany,Indian Export,Order Pending,40,62,731.34
Under Review,Canada,Regular Chips,174,52.2,300,3.98,,129,Invoice Pending,Canada,Indian Export,Order Released,40,134,692.52
Pending,France,Generic,147,73.5,500,3.63,20-11-2024,143,Invoice Generated,France,Local/Regional Sourcing,Order Released,40,107,533.61
Unknown,Spain,Regular Chips,275,27.5,100,3.44,,129,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,20,255,946
Pending,UK,Premium Chocolate,117,5.85,50,10.36,,129,No Invoice,UK,Indian Export,Order Released,117,0,1212.12
Pending,Japan,Generic,9,0.68,75,8.12,,129,Unknown,Japan,Indian Export,Order Released,40,-31,73.08
Unknown,Mexico,Regular Chips,180,45,250,4.79,12-11-2024,176,Invoice Generated,Mexico,Indian Export,Order Released,40,140,862.2
Under Review,USA,Health Bars,342,17.1,50,16.655,,129,Invoice Pending,USA,Indian Export,Order Pending,140,0,5696.01
Under Review,Germany,Generic,450,22.5,50,4.66,,129,No Invoice,Germany,Indian Export,Order Released,40,410,2097
Pending,Australia,Popcorn,225,85.5,500,4.01,25-11-2024,230,Invoice Generated,Australia,Indian Export,Order Released,40,185,902.25
Unknown,Spain,Generic,384,9.6,25,7.3,14-11-2024,375,Invoice Generated,Spain,Local/Regional Sourcing,Order Released,80,304,2803.2
Pending,Australia,Generic,60,4.5,75,8.43,,129,Invoice Pending,Australia,Local/Regional Sourcing,Order Released,60,0,505.8
Unknown,Germany,Generic,7,0.35,50,10.14,,129,No Invoice,Germany,Indian Export,Order Pending,20,-13,70.98
Approved,India,Unknown,208,85.5,500,8.46,,129,Invoice Pending,India,Indian Export,Order Released,40,168,1759.68
Under Review,Singapore,Brand Chips,235,5.88,25,5.91,,129,Unknown,Singapore,Indian Export,Order Released,20,215,1388.85
Under Review,France,Regular Chips,80,6,75,4.81,,129,Invoice Pending,France,Indian Export,Order Released,20,60,384.8
Pending,USA,Generic,517,85.5,150,4.64,,129,No Invoice,USA,Indian Export,Order Pending,40,425,2398.88
Pending,Mexico,Generic,132,2.85,25,8.93,,129,No Invoice,Mexico,Indian Export,Order Pending,40,92,1178.76
Under Review,USA,Generic,313,16.5,150,9.13,,129,No Invoice,USA,Indian Export,Order Released,140,0,2857.69
Under Review,Mexico,Generic,100,30,300,5.43,26-11-2024,105,Invoice Generated,Mexico,Indian Export,Order Released,80,20,543
Pending,China,Generic,343,17.15,150,9.8,18-11-2024,343,Invoice Generated,China,Indian Export,Order Released,140,0,3361.4
Pending,France,Unknown,36,0.9,25,2.49,,129,Invoice Generated,France,Indian Export,Order Released,20,16,89.64
Approved,China,Generic,132,9.9,100,9.35,,129,Invoice Pending,China,Indian Export,Order Pending,20,112,1234.2
Pending,Japan,Premium Chips,286,15.4,75,9.37,,129,No Invoice,Japan,Indian Export,Order Released,80,206,2679.82
Unknown,Japan,Generic,18,0.45,25,9.79,15-11-2024,23,Invoice Generated,Japan,Indian Export,Order Released,20,-2,176.22
Under Review,Japan,Generic,104,20.8,200,8.45,20-11-2024,111,Invoice Generated,Japan,Indian Export,Order Pending,104,0,878.8
Under Review,USA,Generic,12,1.8,150,2.51,14-11-2024,22,Invoice Generated,USA,Indian Export,Order Released,40,-28,30.12
Pending,Japan,Generic,209,20.9,100,9.93,,129,Invoice Pending,Japan,Indian Export,Order Pending,40,169,2075.37
Under Review,UK,Generic,8,2,250,6.59,15-11-2024,8,Invoice Generated,UK,Indian Export,Order Released,20,-12,52.72
Pending,Spain,Generic,68,15.4,150,9.79,,129,Invoice Pending,Spain,Local/Regional Sourcing,Order Pending,40,28,665.72
Pending,UK,Premium Chocolate,132,15.4,500,6.87,,129,No Invoice,UK,Indian Export,Order Pending,40,92,906.84
Unknown,South Korea,Peanuts,24,3.6,150,7.71,24-11-2024,22,Invoice Generated,South Korea,Indian Export,Order Released,40,-16,185.04
